hash, nb_assigned_cores, nb_available_core, assigned_memory, machine_memory, OS, kernel_version, activated_modules, cpu_boost, cpu_freq, cpu_model, L1, L2, L3
5afbb2cfd81d085506a758e097839307,4,64,64,1031671,Linux,5.14.0-362.24.1.el9_3.0.1.x86_64,;Currently Loaded Modules:;  1) GCCcore/12.2.0   2) numactl/2.0.16-GCCcore-12.2.0;; ;;,2.8000 GHz,enabled,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
f445c32345a47e48d042506d11691c51,4,64,32,1031671,Linux,5.14.0-362.24.1.el9_3.0.1.x86_64,;Currently Loaded Modules:;  1) GCCcore/12.2.0   2) numactl/2.0.16-GCCcore-12.2.0;; ;;,2.8000 GHz,enabled,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
200864dcaabf71517af7a4e4a2e32ee5,4,64,32,1031670,Linux,5.14.0-362.24.1.el9_3.0.1.x86_64,;Currently Loaded Modules:;  1) GCCcore/12.2.0   2) numactl/2.0.16-GCCcore-12.2.0;; ;;,3.3860 GHz,enabled,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
aaffb4d88842325c1097b6e886f1df33,4,64,64,1031670,Linux,5.14.0-362.24.1.el9_3.0.1.x86_64,;Currently Loaded Modules:;  1) GCCcore/12.2.0   2) numactl/2.0.16-GCCcore-12.2.0;; ;;,2.5684 GHz,enabled,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
9b6a2f6d958afca3c21b40ea5c68a16b,4,64,128,1031670,Linux,5.14.0-362.24.1.el9_3.0.1.x86_64,;Currently Loaded Modules:;  1) GCCcore/12.2.0   2) numactl/2.0.16-GCCcore-12.2.0;; ;;,2.8000 GHz,enabled,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
54571d7937c04276cf3dac57b494a212,4,64,256,1031670,Linux,5.14.0-362.24.1.el9_3.0.1.x86_64,;Currently Loaded Modules:;  1) GCCcore/12.2.0   2) numactl/2.0.16-GCCcore-12.2.0;; ;;,2.8094 GHz,enabled,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
c4b5da9604e6cd3afd84f1f5ba354ba4,8,64,32,1031670,Linux,5.14.0-362.24.1.el9_3.0.1.x86_64,;Currently Loaded Modules:;  1) GCCcore/12.2.0   2) numactl/2.0.16-GCCcore-12.2.0;; ;;,2.8000 GHz,enabled,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
131698f0a9d54487d5d2a487a62d8cbc,4,64,32,1031670,Linux,5.14.0-362.24.1.el9_3.0.1.x86_64,;Currently Loaded Modules:;  1) GCCcore/12.2.0   2) numactl/2.0.16-GCCcore-12.2.0;; ;;,2.8000 GHz,enabled,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
8be5cb1cee609f0737364f52d808024e,4,64,32,1031670,Linux,5.14.0-362.24.1.el9_3.0.1.x86_64,;Currently Loaded Modules:;  1) GCCcore/12.2.0   2) numactl/2.0.16-GCCcore-12.2.0;; ;;,3.4682 GHz,enabled,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
294871f338616ae109f1f4e4c8d460b1,8,64,64,1031670,Linux,5.14.0-362.24.1.el9_3.0.1.x86_64,;Currently Loaded Modules:;  1) GCCcore/12.2.0   2) numactl/2.0.16-GCCcore-12.2.0;; ;;,3.1104 GHz,enabled,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
305dc77b28d0262015d5effd08aabd1d,8,64,128,1031670,Linux,5.14.0-362.24.1.el9_3.0.1.x86_64,;Currently Loaded Modules:;  1) GCCcore/12.2.0   2) numactl/2.0.16-GCCcore-12.2.0;; ;;,2.6616 GHz,enabled,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
7820e9e3e3ca83f8972a97f13c690847,8,64,256,1031670,Linux,5.14.0-362.24.1.el9_3.0.1.x86_64,;Currently Loaded Modules:;  1) GCCcore/12.2.0   2) numactl/2.0.16-GCCcore-12.2.0;; ;;,2.8000 GHz,enabled,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
537afeedb27f48a8b5c1709ec48bd6b2,16,64,32,1031670,Linux,5.14.0-362.24.1.el9_3.0.1.x86_64,;Currently Loaded Modules:;  1) GCCcore/12.2.0   2) numactl/2.0.16-GCCcore-12.2.0;; ;;,3.3123 GHz,enabled,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
e3d5d2d090267c4e7b9e7dfc848a08e2,16,64,64,1031670,Linux,5.14.0-362.24.1.el9_3.0.1.x86_64,;Currently Loaded Modules:;  1) GCCcore/12.2.0   2) numactl/2.0.16-GCCcore-12.2.0;; ;;,2.8000 GHz,enabled,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
bc7e78f62e08cedeca2930ebcdb46486,16,64,128,1031670,Linux,5.14.0-362.24.1.el9_3.0.1.x86_64,;Currently Loaded Modules:;  1) GCCcore/12.2.0   2) numactl/2.0.16-GCCcore-12.2.0;; ;;,2.8000 GHz,enabled,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
8362ff5f99c884f1a6640401ae3cc531,16,64,256,1031670,Linux,5.14.0-362.24.1.el9_3.0.1.x86_64,;Currently Loaded Modules:;  1) GCCcore/12.2.0   2) numactl/2.0.16-GCCcore-12.2.0;; ;;,3.4227 GHz,enabled,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
ce6c9e6ee8d10bef524bf50b79315ce1,32,64,32,1031670,Linux,5.14.0-362.24.1.el9_3.0.1.x86_64,;Currently Loaded Modules:;  1) GCCcore/12.2.0   2) numactl/2.0.16-GCCcore-12.2.0;; ;;,2.8000 GHz,enabled,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
3e00ffb29c73e878d0ad44a9e138eb40,32,64,64,1031670,Linux,5.14.0-362.24.1.el9_3.0.1.x86_64,;Currently Loaded Modules:;  1) GCCcore/12.2.0   2) numactl/2.0.16-GCCcore-12.2.0;; ;;,2.8000 GHz,enabled,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
8ab67e9485d0399d63fc9815557b9223,32,64,128,1031670,Linux,5.14.0-362.24.1.el9_3.0.1.x86_64,;Currently Loaded Modules:;  1) GCCcore/12.2.0   2) numactl/2.0.16-GCCcore-12.2.0;; ;;,2.8000 GHz,enabled,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
a8030a59a84e4808a41343347889eecb,32,64,256,1031670,Linux,5.14.0-362.24.1.el9_3.0.1.x86_64,;Currently Loaded Modules:;  1) GCCcore/12.2.0   2) numactl/2.0.16-GCCcore-12.2.0;; ;;,3.1828 GHz,enabled,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
